"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TCS","EQ","15-Dec-2015","       2378.45","       2378.45","       2385.00","       2363.05","       2379.50","       2375.85","       2375.03","     567934","          1348859151.30","      52585","     421587","         74.23"
"TCS","EQ","16-Dec-2015","       2375.85","       2384.00","       2414.50","       2384.00","       2407.50","       2408.40","       2402.07","     717967","          1724609355.80","      48074","     494205","         68.83"
"TCS","EQ","17-Dec-2015","       2408.40","       2415.00","       2445.00","       2393.35","       2434.10","       2439.75","       2418.57","     809422","          1957647078.25","      46818","     569320","         70.34"
"TCS","EQ","18-Dec-2015","       2439.75","       2420.00","       2434.20","       2400.65","       2409.80","       2416.80","       2416.02","    1512485","          3654197886.25","      47644","    1052042","         69.56"
"TCS","EQ","21-Dec-2015","       2416.80","       2419.95","       2450.00","       2406.85","       2443.00","       2446.40","       2428.40","     805052","          1954988970.35","      41004","     425890","         52.90"
"TCS","EQ","22-Dec-2015","       2446.40","       2440.00","       2440.00","       2400.00","       2407.00","       2405.05","       2413.33","     780429","          1883430362.60","      30995","     476137","         61.01"
"TCS","EQ","23-Dec-2015","       2405.05","       2415.00","       2435.00","       2410.55","       2418.80","       2425.80","       2425.06","     424917","          1030449350.60","      31057","     253475","         59.65"
"TCS","EQ","24-Dec-2015","       2425.80","       2421.00","       2438.20","       2404.00","       2435.00","       2434.25","       2424.03","     421580","          1021924014.25","      21932","     188670","         44.75"
"TCS","EQ","28-Dec-2015","       2434.25","       2428.00","       2466.40","       2420.20","       2456.95","       2462.70","       2455.00","    1852099","          4546895664.00","      43390","    1060100","         57.24"
"TCS","EQ","29-Dec-2015","       2462.70","       2458.35","       2465.30","       2445.75","       2449.35","       2455.80","       2452.26","     854262","          2094875086.50","      26975","     433986","         50.80"
"TCS","EQ","30-Dec-2015","       2455.80","       2453.05","       2459.00","       2412.30","       2421.70","       2418.30","       2442.06","     802881","          1960681996.90","      49464","     632180","         78.74"
"TCS","EQ","31-Dec-2015","       2418.30","       2415.75","       2448.50","       2407.50","       2430.00","       2436.85","       2428.90","     620159","          1506302587.20","      42600","     400391","         64.56"
"TCS","EQ","01-Jan-2016","       2436.85","       2439.00","       2439.00","       2412.25","       2414.10","       2416.40","       2423.73","     356131","           863164899.20","      15545","     246115","         69.11"
"TCS","EQ","04-Jan-2016","       2416.40","       2410.15","       2414.00","       2366.05","       2373.00","       2369.60","       2381.76","     935092","          2227161314.65","      72341","     615009","         65.77"
"TCS","EQ","05-Jan-2016","       2369.60","       2385.00","       2386.60","       2341.00","       2349.85","       2348.95","       2353.54","    1339010","          3151408770.30","      97799","    1037513","         77.48"
"TCS","EQ","06-Jan-2016","       2348.95","       2350.20","       2386.15","       2350.20","       2382.00","       2381.60","       2374.18","    1326614","          3149626909.40","      43208","     852411","         64.25"
"TCS","EQ","07-Jan-2016","       2381.60","       2370.00","       2382.90","       2360.00","       2379.00","       2371.25","       2367.71","    1599790","          3787836766.95","      29836","     877850","         54.87"
"TCS","EQ","08-Jan-2016","       2371.25","       2385.00","       2407.35","       2372.50","       2400.80","       2397.60","       2396.08","     953772","          2285313566.60","      29435","     596208","         62.51"
"TCS","EQ","11-Jan-2016","       2397.60","       2382.50","       2384.00","       2348.85","       2362.80","       2362.35","       2361.63","    1465114","          3460058884.10","      52084","     927856","         63.33"
"TCS","EQ","12-Jan-2016","       2362.35","       2362.70","       2365.00","       2301.60","       2317.00","       2327.05","       2325.68","    1741297","          4049698909.45","      78442","    1022719","         58.73"
"TCS","EQ","13-Jan-2016","       2327.05","       2317.00","       2327.00","       2255.10","       2280.00","       2279.20","       2283.97","    2373046","          5419974451.55","     110813","    1008246","         42.49"
"TCS","EQ","14-Jan-2016","       2279.20","       2273.00","       2298.90","       2250.00","       2280.05","       2278.80","       2280.21","    1371026","          3126231079.50","      68867","     841660","         61.39"
"TCS","EQ","15-Jan-2016","       2278.80","       2288.85","       2291.70","       2255.00","       2265.25","       2261.10","       2267.74","    1634704","          3707078050.30","      59507","    1305490","         79.86"
"TCS","EQ","18-Jan-2016","       2261.10","       2262.00","       2291.90","       2260.00","       2280.00","       2277.65","       2281.48","    1106961","          2525514822.00","      36247","     824382","         74.47"
"TCS","EQ","19-Jan-2016","       2277.65","       2277.00","       2300.00","       2268.30","       2288.00","       2279.30","       2277.26","     483955","          1102090046.45","      37877","     314006","         64.88"
"TCS","EQ","20-Jan-2016","       2279.30","       2273.80","       2285.00","       2243.00","       2280.00","       2280.10","       2268.32","     807977","          1832751651.50","      47824","     573668","         71.00"
"TCS","EQ","21-Jan-2016","       2280.10","       2285.00","       2289.90","       2245.75","       2258.00","       2254.50","       2258.77","    1337768","          3021715595.60","      48506","     988982","         73.93"
"TCS","EQ","22-Jan-2016","       2254.50","       2273.00","       2302.05","       2260.00","       2290.00","       2295.75","       2290.27","     671589","          1538122117.00","      65671","     490657","         73.06"
"TCS","EQ","25-Jan-2016","       2295.75","       2301.90","       2339.00","       2291.50","       2301.70","       2304.65","       2317.64","     698780","          1619518169.25","      63300","     479449","         68.61"
